"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Saturday","13",0.024,51.462,2009-07-18,"Fire","Greenwich","Lee Green",305,"Lee Green","1122333124314",13,0.04
"Saturday","13",0.024,51.462,2009-07-18,"Fire","Greenwich","Lee Green",305,"Lee Green","1122333124314",229,0.09
"Saturday","14",0.024,51.461,2011-03-12,"Fire","Greenwich","Lee Green",256,"Lee Green","1122333124314",13,0.04
"Saturday","14",0.024,51.461,2011-03-12,"Fire","Greenwich","Lee Green",256,"Lee Green","1122333124314",206,0.09
"Saturday","14",0.024,51.463,2011-11-19,"False Alarm","Greenwich","Lee Green",328,"Lee Green","1122333124314",13,0.04
"Saturday","14",0.024,51.463,2011-11-19,"False Alarm","Greenwich","Lee Green",328,"Lee Green","1122333124314",206,0.08
"Saturday","18",0.0285,51.464,2011-08-13,"Fire","Greenwich","Lee Green",326,"East Greenwich","1122333124314",234,0.08
"Saturday","18",0.0285,51.464,2011-08-13,"Fire","Greenwich","Lee Green",326,"East Greenwich","1122333124314",13,0.04
"Saturday","18",0.024,51.463,2009-09-26,"False Alarm","Greenwich","Lee Green",505,"Eltham","1122333124314",234,0.08
"Saturday","18",0.024,51.463,2009-09-26,"False Alarm","Greenwich","Lee Green",505,"Eltham","1122333124314",13,0.04
"Saturday","19",0.024,51.461,2009-09-12,"Fire","Greenwich","Lee Green",260,"Lee Green","1122333124314",11,0.04
"Saturday","19",0.024,51.461,2009-09-12,"Fire","Greenwich","Lee Green",260,"Lee Green","1122333124314",189,0.08
"Saturday","8",0.027,51.464,2011-11-26,"False Alarm","Greenwich","Lee Green",301,"Lee Green","1122333124314",129,0.08
"Saturday","8",0.027,51.464,2011-11-26,"False Alarm","Greenwich","Lee Green",301,"Lee Green","1122333124314",7,0.03
"Sunday","11",0.027,51.464,2012-01-01,"Fire","Greenwich","Lee Green",349,"Eltham","1122333124314",206,0.08
"Sunday","11",0.027,51.464,2012-01-01,"Fire","Greenwich","Lee Green",349,"Eltham","1122333124314",11,0.04
"Sunday","16",0.024,51.461,2009-12-06,"Fire","Greenwich","Lee Green",292,"Lee Green","1122333124314",10,0.04
