"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Thursday","11",-0.069,51.633,2012-02-16,"Fire","Enfield","Edmonton",284,"Edmonton","1122333444311",6,0.03
"Thursday","13",-0.0675,51.633,2009-03-19,"Fire","Enfield","Edmonton",508,"Edmonton","1122333444311",6,0.03
"Thursday","13",-0.0675,51.633,2009-03-19,"Fire","Enfield","Edmonton",508,"Edmonton","1122333444311",33,0.05
"Thursday","14",-0.066,51.632,2011-04-28,"Special Service","Enfield","Edmonton",239,"Edmonton","1122333444311",6,0.03
"Thursday","14",-0.066,51.632,2011-04-28,"Special Service","Enfield","Edmonton",239,"Edmonton","1122333444311",37,0.06
"Thursday","15",-0.0705,51.633,2011-06-30,"Special Service","Enfield","Edmonton",494,"Edmonton","1122333444311",41,0.05
"Thursday","15",-0.0705,51.633,2011-06-30,"Special Service","Enfield","Edmonton",494,"Edmonton","1122333444311",7,0.03
"Thursday","18",-0.0675,51.633,2012-03-22,"Special Service","Enfield","Edmonton",428,"Edmonton","1122333444311",8,0.03
"Thursday","18",-0.0675,51.633,2012-03-22,"Special Service","Enfield","Edmonton",428,"Edmonton","1122333444311",32,0.05
"Tuesday","15",-0.0705,51.631,2010-11-23,"Fire","Enfield","Edmonton",328,"Enfield","1122333444311",30,0.05
"Tuesday","15",-0.0705,51.631,2010-11-23,"Fire","Enfield","Edmonton",328,"Enfield","1122333444311",3,0.02
"Tuesday","15",-0.0705,51.632,2011-07-05,"False Alarm","Enfield","Edmonton",214,"Edmonton","1122333444311",30,0.06
"Tuesday","15",-0.0705,51.632,2011-07-05,"False Alarm","Enfield","Edmonton",214,"Edmonton","1122333444311",3,0.02
"Tuesday","16",-0.0675,51.632,2013-03-19,"Fire","Enfield","Edmonton",226,"Edmonton","1122333444311",28,0.06
"Tuesday","16",-0.0675,51.632,2013-03-19,"Fire","Enfield","Edmonton",226,"Edmonton","1122333444311",6,0.03
"Tuesday","21",-0.066,51.631,2009-06-02,"Fire","Enfield","Edmonton",361,"Edmonton","1122333444311",7,0.03
"Tuesday","21",-0.066,51.631,2009-06-02,"Fire","Enfield","Edmonton",361,"Edmonton","1122333444311",25,0.05
"Wednesday","13",-0.066,51.633,2009-08-05,"Fire","Enfield","Edmonton",237,"Edmonton","1122333444311",38,0.06
"Wednesday","13",-0.066,51.633,2009-08-05,"Fire","Enfield","Edmonton",237,"Edmonton","1122333444311",2,0.02
"Friday","13",-0.108,51.646,2011-12-23,"Special Service","Enfield","Southgate",446,"Southgate","1123221222221",14,0.04
"Friday","13",-0.108,51.646,2011-12-23,"Special Service","Enfield","Southgate",446,"Southgate","1123221222221",20,0.04
"Monday","17",-0.108,51.647,2011-07-25,"Fire","Enfield","Southgate",460,"Edmonton","1123221222221",22,0.05
"Monday","17",-0.108,51.647,2011-07-25,"Fire","Enfield","Southgate",460,"Edmonton","1123221222221",14,0.04
"Thursday","0",-0.102,51.645,2009-01-01,"Fire","Enfield","Southgate",663,"Southgate","1123221222221",5,0.02
"Thursday","0",-0.102,51.645,2009-01-01,"Fire","Enfield","Southgate",663,"Southgate","1123221222221",4,0.02
"Thursday","14",-0.108,51.646,2013-03-14,"Special Service","Enfield","Southgate",644,"Edmonton","1123221222221",12,0.04
"Thursday","14",-0.108,51.646,2013-03-14,"Special Service","Enfield","Southgate",644,"Edmonton","1123221222221",18,0.04
"Thursday","16",-0.1035,51.645,2009-11-12,"Fire","Enfield","Southgate",23,"Southgate","1123221222221",22,0.09
"Thursday","16",-0.1035,51.645,2009-11-12,"Fire","Enfield","Southgate",23,"Southgate","1123221222221",14,0.08
"Tuesday","13",-0.108,51.645,2011-09-27,"Special Service","Enfield","Southgate",300,"Southgate","1123221222221",14,0.04
"Tuesday","13",-0.108,51.645,2011-09-27,"Special Service","Enfield","Southgate",300,"Southgate","1123221222221",20,0.05
"Friday","0",-0.0795,51.651,2013-03-29,"False Alarm","Enfield","Enfield",269,"Enfield","1123222111124",5,0.03
"Friday","0",-0.0795,51.651,2013-03-29,"False Alarm","Enfield","Enfield",269,"Enfield","1123222111124",9,0.04
"Friday","10",-0.0825,51.65,2012-02-10,"False Alarm","Enfield","Enfield",356,"Enfield","1123222111124",62,0.06
"Friday","10",-0.0825,51.65,2012-02-10,"False Alarm","Enfield","Enfield",356,"Enfield","1123222111124",34,0.05
"Friday","11",-0.0795,51.651,2011-09-09,"False Alarm","Enfield","Enfield",465,"Enfield","1123222111124",41,0.05
"Friday","11",-0.0795,51.651,2011-09-09,"False Alarm","Enfield","Enfield",465,"Enfield","1123222111124",66,0.06
"Friday","11",-0.0795,51.651,2013-03-29,"False Alarm","Enfield","Enfield",447,"Enfield","1123222111124",41,0.06
"Friday","11",-0.0795,51.651,2013-03-29,"False Alarm","Enfield","Enfield",447,"Enfield","1123222111124",66,0.06
"Friday","11",-0.0825,51.65,2009-05-29,"False Alarm","Enfield","Enfield",627,"Enfield","1123222111124",41,0.05
"Friday","11",-0.0825,51.65,2009-05-29,"False Alarm","Enfield","Enfield",627,"Enfield","1123222111124",66,0.06
"Friday","12",-0.081,51.651,2009-11-27,"Fire","Enfield","Enfield",519,"Enfield","1123222111124",79,0.06
"Friday","12",-0.081,51.651,2009-11-27,"Fire","Enfield","Enfield",519,"Enfield","1123222111124",42,0.05
"Friday","12",-0.081,51.649,2010-06-04,"Special Service","Enfield","Enfield",544,"Enfield","1123222111124",79,0.06
"Friday","12",-0.081,51.649,2010-06-04,"Special Service","Enfield","Enfield",544,"Enfield","1123222111124",42,0.05
"Friday","13",-0.081,51.651,2012-03-30,"Special Service","Enfield","Enfield",512,"Enfield","1123222111124",91,0.07
"Friday","13",-0.081,51.651,2012-03-30,"Special Service","Enfield","Enfield",512,"Enfield","1123222111124",46,0.06
"Friday","13",-0.0825,51.65,2012-08-31,"False Alarm","Enfield","Enfield",394,"Enfield","1123222111124",91,0.07
"Friday","13",-0.0825,51.65,2012-08-31,"False Alarm","Enfield","Enfield",394,"Enfield","1123222111124",46,0.06
"Friday","13",-0.081,51.651,2012-11-16,"False Alarm","Enfield","Enfield",941,"Enfield","1123222111124",91,0.06
"Friday","13",-0.081,51.651,2012-11-16,"False Alarm","Enfield","Enfield",941,"Enfield","1123222111124",46,0.05
"Friday","14",-0.081,51.649,2010-06-25,"Fire","Enfield","Enfield",740,"Enfield","1123222111124",45,0.05
"Friday","14",-0.081,51.649,2010-06-25,"Fire","Enfield","Enfield",740,"Enfield","1123222111124",89,0.06
"Friday","14",-0.081,51.651,2013-03-29,"Fire","Enfield","Enfield",465,"Enfield","1123222111124",45,0.06
"Friday","14",-0.081,51.651,2013-03-29,"Fire","Enfield","Enfield",465,"Enfield","1123222111124",89,0.07
