Station,No. of first appliances,"First appliances, % <= 6 mins","First appliances, % late",No. of first appliances from other stations,"First appliances from other stations, % <= 6 mins","First appliances from other stations, % late",% late difference
Hayes,679,0.58910162,0.41089838,110,0.272727273,0.727272727,0.316374347
East Greenwich,410,0.763414634,0.236585366,140,0.435714286,0.564285714,0.327700348
Fulham,911,0.918770582,0.081229418,261,0.578544061,0.421455939,0.34022652
East Ham,630,0.793650794,0.206349206,199,0.497487437,0.502512563,0.296163356
Lewisham,643,0.891135303,0.108864697,168,0.619047619,0.380952381,0.272087684
Belsize,776,0.835051546,0.164948454,336,0.639880952,0.360119048,0.195170594
Erith,654,0.681957187,0.318042813,52,0.269230769,0.730769231,0.412726417
Wandsworth,933,0.782422294,0.217577706,124,0.25,0.75,0.532422294
Feltham,701,0.570613409,0.429386591,85,0.164705882,0.835294118,0.405907527
Dagenham,1067,0.683223993,0.316776007,179,0.25698324,0.74301676,0.426240752
Acton,675,0.77037037,0.22962963,183,0.393442623,0.606557377,0.376927747
Hornchurch,495,0.648484848,0.351515152,139,0.294964029,0.705035971,0.35352082
Stoke Newington,1155,0.792207792,0.207792208,179,0.469273743,0.530726257,0.322934049
Chiswick,508,0.818897638,0.181102362,146,0.369863014,0.630136986,0.449034624
Dowgate,531,0.836158192,0.163841808,136,0.669117647,0.330882353,0.167040545
Euston,1454,0.883081155,0.116918845,431,0.512761021,0.487238979,0.370320135
Wembley,876,0.53196347,0.46803653,120,0.2,0.8,0.33196347
Brixton,1239,0.920096852,0.079903148,124,0.596774194,0.403225806,0.323322659
Tottenham,1367,0.659107535,0.340892465,135,0.459259259,0.540740741,0.199848275
Edmonton,998,0.568136273,0.431863727,156,0.275641026,0.724358974,0.292495247
Romford,430,0.846511628,0.153488372,58,0.310344828,0.689655172,0.5361668
Shoreditch,944,0.886652542,0.113347458,132,0.643939394,0.356060606,0.242713148
Woolwich,514,0.883268482,0.116731518,117,0.401709402,0.598290598,0.481559081
Ealing,875,0.76,0.24,95,0.336842105,0.663157895,0.423157895
Old Kent Road,744,0.841397849,0.158602151,90,0.577777778,0.422222222,0.263620072
Southwark,826,0.945520581,0.054479419,227,0.788546256,0.211453744,0.156974326
Hornsey,901,0.726970033,0.273029967,83,0.240963855,0.759036145,0.486006178
Southgate,708,0.627118644,0.372881356,173,0.179190751,0.820809249,0.447927893
Silvertown,214,0.873831776,0.126168224,85,0.458823529,0.541176471,0.415008246
Kentish Town,970,0.881443299,0.118556701,126,0.5,0.5,0.381443299
Kingston,500,0.612,0.388,51,0.31372549,0.68627451,0.29827451
Soho,2870,0.769337979,0.230662021,386,0.367875648,0.632124352,0.401462331
North Kensington,1300,0.846923077,0.153076923,177,0.412429379,0.587570621,0.434493698
Homerton,988,0.88562753,0.11437247,119,0.487394958,0.512605042,0.398232572
Clerkenwell,964,0.917012448,0.082987552,339,0.705014749,0.294985251,0.211997699
Holloway,996,0.846385542,0.153614458,101,0.435643564,0.564356436,0.410741978
Mitcham,567,0.724867725,0.275132275,163,0.374233129,0.625766871,0.350634596
Poplar,937,0.85058698,0.14941302,113,0.530973451,0.469026549,0.319613528
Westminster,949,0.948366702,0.051633298,291,0.735395189,0.264604811,0.212971513
Deptford,562,0.870106762,0.129893238,179,0.558659218,0.441340782,0.311447544
Greenwich,304,0.927631579,0.072368421,123,0.723577236,0.276422764,0.204054343
Hillingdon,879,0.596131968,0.403868032,87,0.137931034,0.862068966,0.458200934
Willesden,744,0.733870968,0.266129032,94,0.212765957,0.787234043,0.52110501
Bromley,655,0.676335878,0.323664122,61,0.098360656,0.901639344,0.577975222
Peckham,1012,0.81916996,0.18083004,137,0.598540146,0.401459854,0.220629814
Ilford,1196,0.723244147,0.276755853,181,0.220994475,0.779005525,0.502249672
Paddington,1752,0.813356164,0.186643836,248,0.411290323,0.588709677,0.402065842
Orpington,643,0.499222395,0.500777605,136,0.051470588,0.948529412,0.447751807
Hammersmith,1342,0.802533532,0.197466468,168,0.386904762,0.613095238,0.41562877
Whitechapel,756,0.921957672,0.078042328,147,0.80952381,0.19047619,0.112433862
Stanmore,851,0.598119859,0.401880141,214,0.079439252,0.920560748,0.518680607
Wimbledon,614,0.770358306,0.229641694,149,0.261744966,0.738255034,0.50861334
Lambeth,856,0.886682243,0.113317757,91,0.593406593,0.406593407,0.29327565
